1
500
14	838
158	837
679	996
91	958
961	789
530	567
306	704
554	266
825	404
38	831
28	393
70	942
435	44
874	362
401	887
149	911
910	460
154	781
725	528
875	476
477	168
281	948
232	598
134	591
747	779
354	766
497	299
879	348
143	968
92	680
400	100
7	546
994	872
187	196
120	750
536	677
357	136
914	264
549	37
122	355
503	41
786	928
461	126
176	975
256	871
413	808
953	541
485	481
195	574
74	213
555	27
127	508
135	162
694	131
559	709
876	473
324	439
542	671
991	623
660	300
377	444
773	510
80	19
118	346
57	756
260	855
17	705
281	515
971	412
124	157
427	6
255	861
644	287
883	111
615	979
575	412
743	210
142	142
431	149
660	632
628	767
123	209
434	38
763	960
449	314
414	599
598	529
344	37
687	716
802	51
164	436
110	974
784	874
912	785
810	29
446	894
640	933
128	942
330	665
46	914
217	373
468	24
915	910
539	889
601	473
666	425
581	448
481	374
394	719
346	340
201	927
570	174
618	328
658	264
213	602
889	137
362	189
153	55
636	951
84	185
891	142
448	533
341	56
981	688
960	691
678	805
863	206
982	330
260	734
858	527
430	223
369	886
164	351
837	855
954	332
478	59
64	206
29	298
707	264
346	380
802	458
49	730
780	375
719	201
600	143
365	209
752	871
181	516
368	825
778	913
287	287
767	450
661	163
10	928
707	905
936	738
67	749
606	984
730	934
524	188
533	538
53	917
166	624
440	383
448	848
424	508
964	699
602	82
939	623
457	474
531	660
244	497
530	228
42	4
646	459
668	988
220	842
800	633
514	642
55	795
919	878
301	942
672	607
43	468
256	983
986	327
440	312
755	425
354	329
787	10
105	58
338	480
504	381
304	983
638	176
278	725
401	373
760	876
264	913
512	444
876	680
603	354
698	345
641	40
177	846
418	483
233	431
202	872
931	457
148	268
612	841
242	29
679	379
888	535
844	855
619	793
19	392
459	898
151	484
698	695
414	950
621	822
716	747
71	606
691	910
619	700
260	456
687	152
256	191
977	212
99	360
512	642
579	225
147	540
636	451
651	249
309	314
416	497
959	758
23	899
183	0
143	171
258	310
3	809
850	173
600	892
544	785
985	383
883	678
513	864
44	429
699	918
455	401
824	625
201	105
44	674
127	195
839	418
8	679
645	971
898	792
733	50
508	620
516	70
875	590
871	490
295	97
779	478
546	349
45	454
639	731
54	882
445	31
611	478
300	727
50	800
999	772
455	838
885	699
553	304
279	370
221	241
380	846
550	445
333	272
936	891
700	498
159	353
778	863
430	115
849	865
115	378
267	607
557	792
556	962
784	537
785	91
744	306
730	582
867	620
668	388
380	621
39	3
669	736
456	474
127	66
123	12
790	210
755	39
781	566
69	714
697	933
581	521
479	706
10	10
132	27
341	133
565	984
680	955
981	802
830	794
161	671
650	349
432	918
454	886
574	726
354	956
961	387
435	423
231	401
396	523
878	990
495	396
353	591
12	630
720	651
706	810
372	808
896	662
177	204
266	428
123	205
479	648
393	622
43	712
467	566
632	196
302	318
270	385
418	643
190	74
176	152
947	457
365	752
421	830
290	758
376	870
87	671
482	973
765	309
209	514
665	350
188	96
691	778
89	395
900	736
60	549
229	313
185	366
995	844
295	455
695	697
105	202
563	400
981	912
76	890
470	392
543	443
702	834
636	50
862	400
31	201
129	101
715	21
637	592
128	665
628	737
613	656
595	851
729	316
764	775
758	962
582	245
638	134
481	456
920	844
140	961
263	488
846	535
386	113
311	431
207	399
385	671
930	194
784	329
402	890
333	109
734	268
846	137
231	753
443	723
612	411
716	689
595	332
816	178
528	433
443	732
494	672
133	474
718	193
294	578
1000	752
323	269
254	557
699	22
606	314
648	508
893	474
789	121
294	292
259	676
188	649
443	344
358	300
272	547
674	781
287	951
369	85
696	925
333	225
364	52
749	387
803	130
700	124
516	585
310	759
701	73
556	239
672	102
787	755
820	102
394	560
531	222
201	630
117	314
376	180
293	773
195	520
899	236
982	134
265	941
504	829
606	257
30	961
758	680
544	284
394	218
796	432
39	899
779	659
497	926
856	568
888	686
964	748
901	141
273	174
763	133
453	776
549	392
509	769
273	144
241	507
414	684
635	991
823	409
999	2
43	391
984	688
894	139
124	750
465	77
181	596
130	556
720	400
607	392
923	91
81	194
306	331
155	382
720	335
